id	GSM2225183	GSM2225184	GSM2225185	GSM2225186	GSM2225187	GSM2225188	GSM2225189	GSM2225190	GSM2225191	GSM2225192	GSM2225193	GSM2225194	GSM2225195	GSM2225196	GSM2225197	GSM2225198	GSM2225199	GSM2225200	GSM2225201	GSM2225202	GSM2225203	GSM2225204	GSM2225205	GSM2225206	GSM2225207	GSM2225208	GSM2225209	GSM2225210	GSM2225211	GSM2225212	GSM2225213	GSM2225214	GSM2225215	GSM2225216	GSM2225217	GSM2225218	GSM2225219	GSM2225220	GSM2225221	GSM2225222	GSM2225223	GSM2225224	GSM2225225	GSM2225226	GSM2225227	GSM2225228	GSM2225229	GSM2225230	GSM2225231	GSM2225232	GSM2225233	GSM2225234	GSM2225235	GSM2225236	GSM2225237	GSM2225238	GSM2225239	GSM2225240	GSM2225241	GSM2225242	GSM2225243	GSM2225244	GSM2225245	GSM2225246	GSM2225247	GSM2225248	GSM2225249	GSM2225250	GSM2225251	GSM2225252	GSM2225253	GSM2225254	GSM2225255	GSM2225256	GSM2225257	GSM2225258
 CYP2A6 	4.08686925	10.2818579210526	5.56812156578947	9.76383594736842	6.54140203947368	7.58305433552632	10.5884375394737	4.70526721052632	7.38656185526316	8.91526310526316	10.6953656578947	9.43675510526316	6.46025774342105	7.95145435526316	12.4010636842105	6.386280125	4.4563198618421	11.5509605921053	8.61087201315789	8.48119692105263	7.19500521052632	10.2800579342105	3.67147605263158	10.8424634210526	10.2335958289474	12.2516382894737	6.12129407894737	10.1673295789474	1.56129531578947	4.97323434868421	5.69949368421053	7.32058605921053	3.55321071710526	6.5091447631579	10.3090463815789	6.88758145065789	8.44820321052632	3.54585863157895	10.7719542105263	11.0470211842105	9.36256330921053	10.1042146315789	10.3695484736842	9.00429668421053	11.3145676710526	9.93733218421053	9.97748131578947	10.5008626842105	11.0590604934211	7.39606686184211	11.1223240789474	11.7344253947368	10.7858009210526	10.3250227631579	9.45535207236842	11.2347878947368	11.4433210526316	11.4000451315789	10.5664107763158	10.8135838157895	11.3537969736842	10.7888151315789	11.9070896052632	11.7423259210526	10.9010820789474	11.3249439276316	11.1924444078947	10.2104163289474	9.40304094736842	11.4593421118421	10.40949675	11.8237267105263	11.3292605263158	11.0505131315789	11.7423259210526	10.4918419210526
 CD48 	8.97693285526316	6.91136772368421	7.15144572368421	7.14845619078947	7.68909601315789	8.59142338157895	7.06809195394737	6.45376045394737	9.17466896710526	7.41624951973684	8.4063095131579	7.55332475	6.57152296052632	8.55455236184211	7.19548964473684	8.97693285526316	7.60151969736842	7.24176930921053	5.84547308552632	6.36765506578947	7.69661911842105	6.50763288157895	7.24028680921053	7.02091603289474	7.39356843421053	6.94869225	6.29362289473684	9.06553532236842	8.45231422368421	8.74628952631579	6.82874928947368	7.81423751973684	8.4876795	6.11609171710526	6.8546535	7.03400494078947	8.36019207894737	8.07291071052632	8.39978252631579	7.98138943421053	9.00216110526316	9.34857770394737	8.56249071052632	9.11996165789474	7.96740776973684	8.15726055263158	9.42827634210526	8.55404092105263	8.34910998684211	9.28735298026316	9.30423703947368	7.66703773026316	8.19668926315789	8.18789088157895	9.38731497368421	7.94915134210526	8.14710693421053	8.32533842763158	8.84866776315789	9.06747609210526	8.73538970394737	8.28265657236842	9.07035911842105	8.46827767105263	8.35974225657895	8.43185881578947	9.17621348684211	8.46926686842105	8.50924934868421	8.38450698026316	8.07170334210526	8.59142338157895	9.37940775	9.14543731578947	8.2874085	8.47907596052632
 CXCL2 	5.4584362368421	4.43116425	6.14698061184211	5.87341401973684	4.32645522368421	5.87091019078947	5.97110150657895	7.52465534210526	6.76999575	4.98588110526316	6.39443807236842	5.89557818421053	3.49315284868421	4.5134805	5.30497164473684	5.31998913815789	3.46924409868421	6.83492621710526	4.33470111842105	5.15807127631579	3.93558630263158	5.36953375	5.60678985526316	6.58158034868421	4.27433871052632	4.39022344736842	4.82461665131579	3.70689128947368	4.81605423026316	4.42367457236842	4.49272106578947	5.90180101973684	5.79139108552632	4.37937692105263	4.39072698684211	3.88905838815789	4.18612235526316	5.45692518421053	7.33526829605263	6.72403475	7.95399410526316	8.59401328947368	8.28222405921053	8.62480771710526	8.80349168421053	9.57331157894737	6.96459523026316	6.17078422368421	6.12317696710526	4.45731307236842	5.28326449342105	6.40099695394737	5.35919429605263	7.27755795394737	7.10475688157895	7.01823063157895	6.34024263815789	7.84679205263158	6.40512344736842	5.26567826315789	5.87903903289474	7.28560714035088	6.92777545394737	6.24219361184211	8.15851001315789	6.78588119736842	5.77237138157895	5.89355017105263	6.60952867105263	7.46236981578947	7.64531033552632	6.89324796710526	4.07649415789474	5.95136513157895	5.59385516447368	5.97140873026316
 ASPA 	5.53549476973684	4.90203501315789	4.45573675	4.3134445	5.10240227631579	5.96104859210526	4.77059195394737	5.41292095394737	7.95846013157895	4.43019731578947	4.75073772368421	5.69152573026316	3.15549428947368	4.78254748684211	3.74045397368421	5.86267475657895	2.81991019078947	7.47603921052632	5.27263528289474	3.98969693421053	3.51634481578947	5.02570913157895	4.56374101315789	4.48778132236842	4.54929853947368	5.72432707236842	3.20244330263158	5.06847626973684	3.70087755921053	4.57057227631579	3.17421988815789	5.48917564473684	3.27978609210526	3.24953846052632	5.42431552631579	6.0405467631579	3.71664264473684	3.25636807894737	6.02240686184211	6.37762002631579	5.26116996710526	5.44200463157895	6.47939947368421	5.91898652631579	6.70445836184211	6.40896776973684	6.663109375	4.83184561184211	6.5091447631579	5.29906171052632	4.69689347368421	6.98182415789474	5.87837140789474	7.20916292763158	6.35234889254386	6.33083281578947	7.17748073684211	5.73433293421053	6.89166214473684	5.77132085526316	6.15808485526316	6.13717983552632	4.68825814473684	7.43563527631579	5.66995966447368	6.82840986842105	6.48053365789474	6.09346013157895	4.59322265131579	6.13108819078947	6.205924625	6.11385086184211	6.58702451973684	6.54297159868421	6.31208589473684	5.78994331578947
 DDR2 	6.49972735526316	5.60521178947368	8.57972165131579	8.70948727631579	5.70519101973684	7.49451167105263	6.76434210526316	6.39179192763158	7.88617108552632	7.22746268421053	8.10691710526316	6.55179845394737	6.08607246052632	8.45563905921053	5.85924588157895	7.70758056578947	7.36516769078947	6.82362107236842	6.53255725	6.15839436842105	5.26365563157895	5.57846025657895	6.67890096052632	7.35510194517544	5.93696888157895	6.31431382236842	6.17592624342105	8.63317588157895	6.52045925	6.65955609868421	6.25651700657895	6.00247758552632	7.74409344736842	5.99787655263158	6.12974932894737	6.23632440789474	8.58330972368421	7.45173655921053	7.66815091447368	8.07291071052632	7.99965235526316	8.07449257236842	8.01620865789474	8.0495735131579	7.61180411842105	7.78083398026316	8.31573577631579	7.94523619078947	8.23062622368421	8.08489606578947	7.94622453947368	8.25764653947368	7.50492932894737	8.28145765789474	8.31441306578947	7.64185767105263	7.36134561842105	7.66742838157895	7.81454096052632	7.73662588157895	8.43913403947368	7.68057565789474	8.24861898684211	8.07489747368421	7.83817682894737	7.86736639473684	8.4450835131579	7.58650171052632	7.62158540789474	7.09970526973684	7.62093338157895	8.36138385526316	7.63195134210526	7.87151310526316	8.22620032236842	7.86050982236842
 SUCNR1 	5.33116357894737	3.06488502631579	4.27997484210526	3.56985101315789	4.705744125	4.43703523026316	3.39903938157895	5.52338646052632	5.11564889473684	7.02628517105263	4.96274823026316	5.16640330921053	3.26991986842105	3.52632740131579	4.68889265789474	5.25399659868421	3.42278904605263	3.81311651315789	4.51125448026316	3.41608369736842	6.19252520394737	3.94656692105263	6.0909508881579	3.39066534210526	4.71655851315789	3.722135	3.88171825	4.44276717105263	5.86345894078947	4.24646932894737	2.55879850657895	5.21408927631579	4.51125448026316	3.63888228289474	4.23451967105263	3.50729389473684	4.29527233552632	4.00503099561404	4.60265630921053	5.84373984210526	4.51521878947368	4.59779882894737	6.15617947368421	5.2379545	6.17860600657895	6.66566007236842	6.87508073684211	5.40771935526316	6.30377635526316	4.89305598026316	4.59730068421053	5.46543493421053	4.66061502631579	5.69814723684211	6.01906959210526	6.10918047039474	6.01796211842105	5.85500623026316	6.74905372368421	5.40472492105263	6.40928911184211	5.13578646052632	4.64073536842105	6.67978658552632	4.92247071052632	6.57675771710526	5.98383867105263	6.45543734210526	5.37883236842105	5.17058987061403	4.99153807236842	5.63394056578947	6.21913998684211	6.59670566447368	5.46380646052632	5.07906095394737
 XDH 	5.10957132894737	7.53415231578947	7.23611693421053	9.18720389473684	7.53245771052632	7.27451727631579	8.06729090131579	5.94221717763158	9.08447707894737	8.58330972368421	10.8269928815789	8.94354605921053	6.04725806140351	8.39127119736842	9.15288859210526	7.44514128947368	6.039513625	8.45127110526316	9.63386892105263	9.30344509210526	6.86356377631579	9.0634909868421	5.83418015131579	9.14385791447368	8.13658114473684	10.59356925	8.39848990789474	8.27571625657895	5.32040665789474	5.09771603289474	7.2284015	7.39416759210526	4.870495625	9.64406760526316	9.29261865131579	7.31795326315789	7.90159248684211	6.24964707236842	9.72731641447368	10.2266538552632	8.25979190789474	9.58795810526316	9.11200969736842	9.866362	9.87066755263158	9.51961809210526	9.00492627631579	9.83921138157895	10.31572025	9.37068878947368	9.3696847631579	10.3140566052632	9.77624053947368	9.66143963815789	9.27390673026316	9.18097328947368	9.73316676315789	9.37444811842105	9.6231745	9.70275208552632	9.382849	9.64267225	9.46153577631579	9.74289070394737	9.23190478947368	9.61177114473684	8.77909809210526	9.56766534210526	9.46739761842105	9.32903885526316	9.37264038157895	9.08517874342105	9.70995281578947	8.63912985526316	8.81923744736842	9.6032372631579
 ATP11C 	7.11709611184211	8.57924634210526	9.23378305263158	9.28197173684211	8.41995476973684	6.00474588815789	8.63856872368421	7.779294	7.43382909210526	7.81702026315789	8.97814163157895	8.82776577631579	7.67342682894737	6.93273273684211	8.03460092105263	9.22002217105263	7.73256342105263	7.02919291447368	7.49618296052632	7.58650171052632	7.66606334868421	8.038052	6.01566320394737	8.89435951315789	6.84082501315789	8.53259152631579	8.31956153947368	7.9050425	6.81136301315789	6.15808485526316	7.38236840789474	7.06464968421053	6.96340914473684	7.34708190789474	7.70523174342105	7.85369392105263	7.46179934868421	6.95500966447368	8.97039423684211	8.21469790789474	7.9709025	7.98138943421053	9.07741914473684	8.60036258552632	9.31400532236842	9.21913053947368	8.31999455263158	8.83333214473684	9.50778616447368	8.19507514473684	8.21709160526316	9.38917356578947	8.68195111184211	8.86933644736842	9.22795593421053	9.60095353947368	9.50875442105263	8.5650134868421	8.86670028947368	9.00288727631579	9.08654921052632	8.88322617763158	8.22483310526316	8.74687515789474	8.76088881578947	9.2827675	8.42325493421053	9.27390673026316	8.22046288157895	8.78405727631579	9.35178320394737	7.73881250657895	8.74007692105263	8.52013957894737	8.33766618421053	8.86311984210526
 AGTR1 	9.21114960526316	8.007949625	7.32500182236842	7.08464314473684	7.37203808552632	8.53306749342105	8.38319075	8.44224756578947	8.68369001315789	8.28953599342105	9.28367256578947	7.92942410526316	7.67403591447368	8.91956071052632	8.75312013157895	7.68385288157895	6.32047353947368	7.86963034210526	8.61145465789474	8.72375889473684	10.0510137894737	6.98721104605263	9.50251732894737	8.14836755263158	6.62921692763158	8.96104376315789	7.43746413157895	6.74574747368421	10.2870280789474	10.0065878026316	9.18243621052632	9.00888504605263	7.80358046052632	8.6259095	9.39373223684211	7.51029818421053	8.23099402631579	7.899811375	9.08098925	9.25722723684211	9.20558178947369	9.00818428289474	9.09401931578947	9.25330802631579	9.30702690789474	9.358272125	9.30516751315789	8.75613090789474	9.14698430921053	9.510544	9.38731497368421	9.27464353947368	8.97039423684211	9.68120298684211	9.02622310526316	8.782436	9.20486103947368	10.1850715526316	9.96018557894737	9.3696847631579	9.34136360526316	9.83790920394737	9.39819436842105	9.74623098026316	9.40007525	10.0728598815789	9.24255934210526	9.3325248618421	9.64954776315789	9.21256382236842	8.97107064473684	10.0462890592105	9.59789463815789	9.58107181578947	9.52837833552632	9.10124375
 MAT1A 	10.1270275263158	10.9039407894737	10.2352768026316	10.2732843223684	10.0138550263158	11.7054817105263	10.9701273684211	11.8625201315789	10.6665226315789	11.3395928289474	11.3794831578947	11.6399798684211	11.8326578947368	11.2682628947368	12.0273305263158	10.6406784605263	11.4686934210526	12.4138827631579	11.5880439473684	11.3837648684211	10.0021052631579	11.0100063157895	11.8774113157895	10.8571838157895	11.9253046052632	12.0534336842105	9.88296368421053	10.0978998026316	11.6399798684211	11.5576286842105	11.6018378947368	12.0640575	6.45101473684211	10.9233225	10.2070947105263	10.1867815131579	11.0219152631579	8.87210078289474	11.8839955263158	12.0640575	12.2267578947368	12.2720265789474	12.1110503947368	12.1943146052632	12.2171044736842	12.0924710526316	11.7921552631579	11.9070896052632	12.0836465789474	12.0100502631579	11.9739796052632	12.0445285526316	12.3743689473684	12.1017394736842	12.1943146052632	12.1478801315789	12.1283022368421	12.1577363157895	12.1017394736842	11.6089492105263	12.1110503947368	12.2171044736842	12.0534336842105	12.1478801315789	12.3321701315789	12.1659502631579	12.1842057894737	11.9399828947368	11.8774113157895	12.3080061842105	12.1842057894737	12.1659502631579	11.7921552631579	12.4010636842105	12.2267578947368	11.9070896052632
 COL14A1 	5.45321115131579	4.99848598026316	5.67560863157895	4.79945160526316	4.80034215131579	5.57741719736842	5.69949368421053	5.11277959210526	8.41711898684211	6.87769894736842	7.3696284868421	5.76529428289474	5.06152238157895	8.64893442105263	4.93027201315789	7.26316546052632	5.99058565131579	5.06274371052632	5.641334625	4.96665415350877	4.76472870394737	4.97143439473684	6.0554159868421	6.65219199342105	4.91506111184211	4.75954970394737	5.14567346710526	8.88527311184211	5.04957735526316	5.28076325657895	5.42058708552632	5.49215590789474	6.46676011184211	4.83364711842105	5.33989569736842	4.93027201315789	8.96490119736842	7.01676131578947	7.1000254868421	7.64360651973684	8.12195442105263	7.77305501315789	7.22429811184211	7.07043490789474	7.10358657236842	7.28715555263158	8.21631944736842	7.77305501315789	8.17306329605263	6.92692333552632	7.19059168421053	6.85917013157895	6.29301726973684	7.34396069078947	8.00383034210526	5.77774034210526	6.26450526973684	7.45110827631579	7.38493290131579	7.44119966447368	8.71992525	6.26841288815789	8.23986080263158	7.77452725	7.31269520394737	7.60420497368421	7.99015465789474	7.00476242105263	7.58713832894737	6.33399292763158	6.24499892763158	7.16222877631579	6.86060369736842	6.83267721710526	7.99826564473684	7.64017360526316
