id	GSM2233086	GSM2233088	GSM2233090	GSM2233092	GSM2233094	GSM2233096	GSM2233098	GSM2233100	GSM2233102	GSM2233104	GSM2233106	GSM2233108	GSM2233110	GSM2233112	GSM2233087	GSM2233089	GSM2233091	GSM2233093	GSM2233095	GSM2233097	GSM2233099	GSM2233101	GSM2233103	GSM2233105	GSM2233107	GSM2233109	GSM2233111	GSM2233113
LOC284926	1.59267059585642	4.03544062890206	4.12209829890982	4.009775309098	4.94369313033714	3.33177856807687	4.95287341827598	4.6877172670494	3.34856798638182	4.4728320028574	4.2471912567086	5.53663021807321	5.35725500316211	5.24880923527995	3.49676493699467	3.37556906723508	1.95153451066336	1.51066057305364	3.17554361030716	1.49558857660645	3.65746307341389	4.09235948309171	2.43438994288255	3.93594476614035	3.52299645898648	3.16962744526647	-2.08488889758651	-0.749904649873704
RMDN2	4.24963947167846	4.87904346897304	5.66170006630036	4.84342416594695	6.64812642409945	5.06853561222956	5.23145663822403	5.14966417977998	5.74327964934741	4.89295762985853	4.93091470719705	4.28942610741283	5.11714214305769	3.15765971999306	6.11459313309456	6.57755561129596	6.41197748586858	6.48266200435318	6.39557493652683	6.59801552211896	5.39781009091193	6.00295562230673	6.31625890105828	6.88708785268845	6.22650967663922	3.66404933824577	5.42160402363829	6.27176869835286
OAF	6.00184033974613	6.4702986273651	6.94130297393728	5.37306873217148	5.377030763416	9.13299377840514	8.16302633209252	6.25783767262141	7.27621274163037	6.37651465757112	7.5563441039079	7.33255823113409	7.90072954564683	6.68484544794509	7.4228862255018	7.86869323177638	7.43590188703277	8.0219149180246	7.5653025297816	8.59307137778111	7.84267397430011	8.15513897358103	9.22917130618794	9.43998964143897	8.82893508816728	7.61461379519312	8.51873100862209	7.04344029129856
PNPLA7	4.79904478230992	1.94775520105236	3.91215654271594	1.25819584889741	0.881944238478288	1.31063441921817	1.38469125679569	2.91729534967536	1.13633202953949	0.424666200476621	3.79066655207058	-0.244349368995205	2.04784727672398	0.866484133932835	3.21191609856699	4.19455050590421	3.43307867276957	3.58562787622324	3.80616138348157	3.30421549129954	1.33696342324864	3.69140787306103	3.95186155868542	4.12745395355119	4.72894410666341	2.00826319956345	2.95809142116549	4.11278699761021
LINC01127	0.132811828425213	5.54817604116201	1.17544856171596	0.980330019859866	4.15768377754063	2.90937309996881	3.35122110708728	0.519973160572348	4.38699975994891	2.79504702339647	2.95574676195028	4.61624033906303	5.76879671583924	2.70610950442295	4.31745891537054	5.57085592775291	4.22436465738331	5.09420338882097	5.21913459831994	5.5327325419486	4.13147973612216	4.11673753862661	5.76094233013717	5.10937299774934	5.24291132845467	4.80278713833074	3.26025870001139	4.44953189786881
FITM1	0.29172983883426	4.74138214107378	3.68160654867898	4.374273598219	3.54084208102031	3.62379939127314	3.27412851603607	4.10289875469814	3.86686677653128	4.25209770303744	3.14294823214459	2.0615704950069	2.88545821961399	4.19319108405884	4.04074373348916	4.73770607343311	4.84725724035003	4.76436612462511	4.92497081536287	5.50814234366598	4.16163579323773	4.6261279377075	4.70734269663706	5.08475187492124	4.90586811991559	3.45160362851027	4.13707652666484	4.40987781406398
CCDC146	3.03760484848299	5.67461264608534	4.67314679772534	5.90789497995446	4.75911619389786	5.02268485402322	4.02677898564261	4.36340890290793	6.12252112376604	5.99678820222126	4.23722134426667	3.80227456037512	6.16506251008582	5.74515617716862	6.13891110883207	5.6584401804221	5.87277465001623	5.98046399450101	6.17492092818393	6.73859414716687	6.67743441296238	5.3665870260434	6.26874137456903	5.2521289275238	4.79514445686451	7.10290928551495	6.99874924303856	6.15953491921812
ZFP36	8.58923135262444	8.09703022927175	7.61522096468047	6.61756016982637	6.444115653444	8.42658649932956	7.3625993003425	9.62645032731003	8.30870634058068	9.85941784784202	8.18509532473549	8.34020803477023	10.1457760015441	8.47811400642122	8.11866983143271	9.08182499431588	9.55905438407536	10.024720154754	10.1228195228388	9.46098140985165	9.59481771595828	9.59892937448009	9.18842989148192	9.13165504142454	8.21745274411264	11.0978565899248	9.86261014673514	10.865260176763
FAM107A	2.47242587845598	4.570820697932	4.98139286546421	3.67592343853406	3.38177364858713	2.91686899867224	2.83100951217214	4.68180396522776	4.28180420985363	3.52628497311519	4.65219964830406	3.60209966098676	4.77785802481311	3.2699799355577	4.45841247247955	4.70952696876359	5.33084144050991	5.13898483355527	4.97577389627904	3.95373005808394	5.05428775399576	4.96933398191284	5.07828553178564	4.07975397035598	3.79007693062577	6.4253109735024	4.29862267944912	5.55118578640823
DAO	7.46401835021901	6.80566096949602	7.33660219436273	4.93715920192199	4.58691601975593	4.81652961547068	4.81829837313476	6.90911089420601	7.54136159228443	5.38684789018387	5.42517364786478	4.82246005733783	8.57191874112374	6.3421402964811	8.07665799245647	7.8138079075445	6.62261963903256	6.74597449342187	7.66730714991247	8.46762516459168	5.71358054623137	7.35251168559904	8.33354672610646	8.33354672610646	7.99139742723171	7.29758284466183	7.60337617340387	7.31639845131233
STOM	8.49231936832845	9.8434108210979	9.58164244386902	7.66384185462069	6.73643414655713	7.99276977930323	6.93853814829485	7.8287073577182	8.41908185735285	9.52522889878401	10.2595551115713	8.79071095787499	9.11570036528117	8.48087985895333	9.74938471742004	9.70389893990999	9.67690470277805	9.80677821950374	9.70117792784602	9.61039157949781	9.79465664357102	8.99778602207633	9.31319684988985	9.26709320347444	9.49617315640107	9.61506359576248	9.69200828386794	9.45025329099019
RASD1	6.57930195380681	6.83387560441438	7.68661516119104	6.10675547387405	6.77072759707263	6.49089766247825	5.22598777456289	8.20698235292818	7.10514026314226	6.38602258850676	6.83626004697486	6.84862959324208	6.56722997427124	5.41655211453744	6.715172491356	7.62632448353338	8.5208352926945	8.7974588859151	8.67629020511953	6.8113230817458	7.91818175637345	8.23097788224485	8.05414624682144	6.87110217276688	6.26078627124268	8.03018337953928	8.69298178474969	6.91815512949177
TRIM16	6.94890393556418	6.73703080379642	5.55575930054716	5.51673867547704	6.32624327948432	3.63762887552032	7.25866697695022	6.14242420516833	4.84597833401745	5.00659323808976	4.14659897968535	7.52561868196515	4.1324617836029	7.37854000704161	4.44045592136237	4.06350294230616	1.69136134169473	4.19956952519941	4.71372199591824	3.40115177058714	5.73319245171704	6.14122372138385	4.50011941309267	4.56088960431924	4.90060808274332	3.92277753992719	3.71943880329708	3.60116942963833
SLC14A1	1.09993636652416	2.11418852145136	-0.0867116331933308	2.89597191940221	2.90563054983786	0.714638034344068	2.82048291165067	2.71237960366742	0.217969234302263	3.0219449832948	2.41048740635096	0.843696769121325	2.47251871697043	0.1202255323181	3.10153802646206	3.26152186060615	2.27159641933722	3.34970142374453	3.05290439461873	3.73966811454603	1.89262231970803	2.71041287302286	2.53011831745439	3.2804703154419	3.01318573270919	2.67575545476049	2.45544465101895	3.76618046621268
