Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AC017002.2	1.04995281847893	3.1044978554326	1.884738278524	0.069529226736184	0.225865295556501	-4.88227857592634
DNAJB11	1.05145313516212	8.70963202688422	4.7440140928105	5.17219322136877e-05	0.00133681301721531	1.81616165336393
RPL22L1	1.05203501736435	7.77512067341043	2.9767700622189	0.00582896037453898	0.0404416365808722	-2.66781403460295
CR936796	1.05205388858831	3.31971859295749	1.86320963560809	0.0725954180176945	0.23228283713523	-4.91871934599184
ADIRF-AS1	1.05220046115798	3.05960338201255	2.44640083912191	0.0207327969233032	0.0990524849961593	-3.8249399668314
AX747544 /// JRK	1.05293718385147	3.22625310389952	2.28885893969564	0.0295638531076467	0.126114719579617	-4.14098264913418
RPLP2	1.05317767810815	3.63281616589542	1.59788808511259	0.120914961065134	0.321346879576491	-5.34008823087442
SFN	1.05323938936193	5.92621134742874	2.36482863316379	0.0249492004367953	0.112285632908695	-3.99033725578
DOK6	1.05400047028288	1.73134565633556	2.58310373540902	0.0151054882065757	0.079039172996365	-3.53970842164206
LOC100996643 /// LOC101928195 /// MTHFD1L	1.05595578180202	4.65970093145969	3.78963344720621	0.000706570618757934	0.00911104218924705	-0.686701809335331
IGSF1	1.05619917577102	3.67372797402768	2.91099860742127	0.00686021967042032	0.0450956865981794	-2.81825349113205
SPTA1	1.05748748255001	1.87358818488777	2.25771605201231	0.0316693254970364	0.132561405177131	-4.20176323293278
RP11-109D24.1	1.05810343814283	2.2360376502496	1.84357805599154	0.0754922418777212	0.238637550909943	-4.95166351827498
CCDC137	1.05909847630406	4.94616218329055	3.19568679591827	0.00335668758175317	0.027359035711471	-2.15495803709568
CDCA7L	1.0593722720074	5.65406833871484	3.61500003988469	0.00112592444116342	0.0127316071423864	-1.12825671211704
SSR2	1.05987840177737	9.52797844631973	5.65302553289082	4.15103469930036e-06	0.000211325402873473	4.2520313537906
XRCC3	1.06009173635553	2.6306096138337	1.98631945505188	0.0565270281083093	0.196819496833077	-4.70599856478509
NME1-NME2 /// NME2	1.06028059824856	9.43764997159483	5.2094987199924	1.41940036560367e-05	0.000515986037078798	3.06343252831242
RALYL	1.06072025759623	1.50957135707412	1.70052806307597	0.0997399132390502	0.285064109245023	-5.18330260008519
FIGNL1	1.06271656695239	5.15020976703138	4.39456646054075	0.000135979100724352	0.00271496472753546	0.886984099913875
DLG5	1.06299634827768	5.84491276130009	5.8431651878091	2.456826212027e-06	0.00014518731785647	4.75948682125559
UBAP2L	1.0640080218037	6.4362280168449	7.65950468522374	1.91814664846146e-08	5.36319332350468e-06	9.44813433292524
NAT14	1.06420189562549	2.50500974277362	2.37989339591082	0.0241160026020717	0.109808915902184	-3.96007139799536
BC069782 /// STAMBPL1	1.06465908644861	1.83982999775081	1.97602518104103	0.0577400922194113	0.200006917378579	-4.72418390135415
