id	GSM3163056	GSM3163057	GSM3163058	GSM3163059	GSM3163060	GSM3163061	GSM3163062	GSM3163063	GSM3163064	GSM3163065	GSM3163066	GSM3163067	GSM3163068	GSM3163069	GSM3163070	GSM3163071	GSM3163072	GSM3163073	GSM3163074	GSM3163075	GSM3163076	GSM3163077	GSM3163078	GSM3163079
CYP39A1	-1.526437160125	0.159552148791667	-3.942848440625	-1.91687218416667	-0.148859454125	0.0418575913333333	-2.94076109779167	-2.60900305958333	-2.982312790125	-3.2089649805	-0.0972920936666667	-0.949407264916667	1.06647597479167	-0.176628934833333	1.0954697475	0.90890137325	1.55686041945833	1.06987069829167	-2.06107118345833	-0.145895834458333	0.390927668041667	0.697286894916667	-0.501744216166667	1.432873953125
TBX20	-5.37942381945833	-5.75844849166667	-5.64458896458333	-2.24434342291667	-2.17437128495833	-0.36747909075	-5.55931452708333	1.736970246125	-4.59679803541667	-5.45908310416667	-3.73574836108333	-3.762338948625	-1.2363116205	-0.819161391583333	-0.391590213	-0.137339114375	-1.11116015279167	0.433106341375	0.0785096304166667	0.110335376833333	-1.51300901308333	-1.75491444833333	-0.18415530525	-0.953012123125
FGG	4.60559097291667	4.14797115345833	6.26224759583333	2.02045486145833	5.81487523229167	5.79461009304167	6.32153090833333	3.69105837083333	-0.168230381958333	4.58933364375	5.32227275554167	4.73197948333333	6.52012848470833	6.67330705554167	6.59235867708333	6.78807167083333	6.48491721875	6.64792971875	6.43465782916667	6.67330705554167	7.30749887291667	6.76262409791667	6.4515144375	6.8285533875
GIMAP8	-0.324943570208333	-2.12553671175	-0.737210917791667	-1.04612689395833	0.0289692755416667	0.34321296675	-0.978843087291667	-0.497207160458333	0.069835347125	-1.57685598725	-0.913376878958333	-0.835983865291667	0.276363410833333	0.562908984166667	1.10155156404167	-1.07443902275	0.412164884916667	0.170840511333333	0.429691500625	0.335165806041667	0.8369609225	0.4395181325	0.130725864166667	0.561443626333333
FGB	3.51120985208333	3.73275491958333	5.542235254875	0.920331210125	5.640203053125	5.22682149791667	5.105106798625	3.09251727845833	0.142060300083333	3.907205125	5.06796455416667	3.42315856941667	5.80384676458333	6.10513275208333	5.71616875558333	5.94349387220833	5.61847479375	6.0118717375	5.755240979875	5.94349387220833	6.43465782916667	6.13527175833333	5.65708764791667	5.51007870416667
SERPINA3	4.647823073625	3.92299975695833	3.48510727308333	2.34337265833333	6.023345341625	5.19404671529167	4.78795244858333	3.76570754929167	-0.231177600375	4.52515009445833	5.41530179766667	3.93882420833333	5.46421205929167	5.92192803125	6.023345341625	6.41711917570833	5.57704989166667	6.036925613875	5.94349387220833	5.60199651666667	6.33807617916667	5.99803445141667	5.94349387220833	6.35975956945833
EML1	-1.44643031654167	-3.13875536304167	-2.20380487004167	-1.33261352583333	-0.529312065708333	0.189539781875	-1.67751561770833	-1.07814482729167	-2.03429932104167	-2.85081990145833	-1.58622505204167	-2.205185948625	-0.300220012208333	-1.04574691958333	-0.492945779375	-0.585839111875	-0.392419382166667	-0.0884503079583333	-0.125107159083333	-0.331701294958333	-0.707207505	-0.504146111708333	-0.625751108958333	-0.690315768083333
SOCS3	0.468493479583333	-0.883312992833333	-0.411179751916667	1.50325504908333	0.857242342041667	3.03354530104167	2.45215003720833	0.406290152583333	2.35921253241667	2.56400833333334e-05	0.4505141595	-0.38263749125	2.53620784408333	3.09251727845833	1.88278732379167	2.067337511125	0.97685896575	2.654394158	3.9408905375	3.51729718541667	2.380678171375	3.31271747241667	2.22107474195833	2.463683825625
KCNJ16	-5.819432686125	-5.21996880658333	-5.473033982625	-6.2719347375	-3.03788680625	-2.25934586725	-6.08099676875	-5.46768306525	-6.189688075	-5.76769433333333	-5.852690845125	-5.98012830833333	-3.62824346875	-0.84849155525	-3.46654230008333	-6.25799984375	-3.27433339958333	-2.146150540625	-2.15430647395833	-3.21431681908333	-4.33946799445833	-2.62135354791667	-0.755376010333333	-2.90467163554167
FAM129C	-1.20621411354167	-4.28725888958333	-4.06542304375	-4.40430341666667	-2.620723608625	-1.21313775408333	-3.66122662691667	-3.18429146208333	-4.34863633333333	-4.10244300625	-3.850280640625	-3.119845754875	-1.45598610054167	-2.16256868708333	-1.62242363591667	-1.99062232054167	-2.86839827004167	-1.11902819295833	-0.221960251333333	-0.948546657916667	-2.18257181604167	-0.825183421666667	-2.662675148625	-2.22254141083333
NR3C2	-2.919913845	-2.772312676375	-3.76966875625	-4.41918887708333	-1.98508884845833	-1.95754653020833	-3.01339089583333	-2.90865280229167	-4.03023565554167	-2.52414476454167	-1.76551808320833	-2.51988876291667	-1.02502833270833	-2.44714125625	-0.966892879875	-2.240170775	-1.19687399075	-1.29041980741667	-2.30170234970833	-1.81711497916667	-1.53734950466667	-1.58272745125	-2.2579498045	-1.72278217729167
APOA4	-3.28254406845833	-4.07576222083333	-2.42714246758333	-4.209847813875	-3.84183750791667	-3.26839937354167	-3.2008451125	-3.626245020125	-4.48920926320833	-3.355041675	-2.70759160779167	-4.19149120729167	0.481370675208333	-2.53907984875	-0.822574379291667	-1.99701627604167	-3.16319835895833	-2.93244223958333	0.141675402458333	-3.79838678541667	-2.216810083125	-2.696565790125	-0.677191913541667	-1.16503828154167
CD163	-0.540150198833333	0.390551660625	-0.485320981458333	1.68037619958333	1.33588326804167	2.6868081775	0.484233146291667	0.53493525675	1.91852742308333	-0.165925441166667	1.91562528166667	1.12324394008333	2.05299145833333	2.24169553341667	2.37523934791667	1.9144196895	1.82599100554167	2.74158353779167	2.60811776729167	1.15370166008333	2.41481146375	2.17050470104167	3.34241648779167	2.97545479654167
DBH	-1.76104078229167	-0.112984975666667	-1.01183606395833	-5.45057228125	-1.25387291229167	0.527167378333333	-2.94234935558333	-1.59858283195833	-5.03783602154167	-0.136559169125	-1.68713898	-0.264196628833333	0.197144979291667	0.1650876585	0.460388338166667	0.97976589075	1.010230361875	2.27255714375	0.140915437916667	1.1516058645	1.326080960625	-0.0588843039583333	-0.443343523958333	0.806186128541667
