id	GSM2712004	GSM2712005	GSM2712006	GSM2712007	GSM2712008	GSM2712009	GSM2712010	GSM2712011	GSM2712012	GSM2712013	GSM2712014	GSM2712015	GSM2712016	GSM2712017	GSM2712018	GSM2712019	GSM2712020	GSM2712021	GSM2712022	GSM2712023	GSM2712024	GSM2712025	GSM2712026	GSM2712027	GSM2711996	GSM2711997	GSM2711998	GSM2711999	GSM2712000	GSM2712001	GSM2712002	GSM2712003
SHBG	6.48670646753472	5.87806569494048	5.07091210667163	6.29011583184524	5.2199424874256	4.81802829166667	5.26755957849702	5.24754421510417	4.83858019765625	5.49618897291667	5.2831768921875	5.6309591875	6.61965960334821	5.9783173986066	5.59497449114583	5.65644665625	5.35313929906994	6.02613755833333	6.4176673828125	4.74950774025298	5.38173944397321	5.19100547395833	5.5427318875744	5.57182124791667	6.44196301822917	7.16387307552083	5.55196183839962	6.62559711197917	7.37129567447917	7.80139847916667	7.12469490260417	6.704060515625
RNF125	4.95241651502976	4.29305622135417	6.27449054479167	7.38436576302083	7.17760714322917	5.66508383854167	6.70350741272321	6.79931619553571	8.06016548828125	6.26926959375	4.40776232239583	5.6853834671875	6.73384789791667	4.05679363020833	5.48956190416667	4.17359592760417	4.87368610104167	3.5577067890625	4.07135024895833	5.06325535208333	4.9660581703125	3.98888045364583	6.720919128125	4.98291937157738	8.32231555208333	8.16980844270833	8.38566004761905	8.44925520833333	8.14382920833333	7.65980395260417	7.61229830208333	7.31205479270833
NCAPG2	4.94782742291667	6.24100364114583	6.0100819921131	5.40015666458333	5.58309503385417	5.79600701666667	5.97523175	4.31397569166667	6.36001078303571	5.62338346376488	6.02872547291667	7.60628036302083	5.61215814010417	5.451888775	5.72484166599702	6.60457871432292	5.68626652008929	6.07182000074405	6.0057549421875	6.71682307756696	6.03056523177083	6.22023941302083	5.620014375	6.90000420572917	4.5600249296131	4.70232695208333	4.47692158541667	5.07943239895833	4.99519621822917	4.31498039387019	4.46909848125	4.217048890625
TUBG1	7.9581323984375	8.29767864322917	8.19953269791667	7.28306465260417	6.9130410078125	7.04004677291667	8.00176864375	6.08699428645833	8.2895836796875	7.92758995572917	7.15794138975694	8.64887497395833	7.9022888515625	8.5376289765625	7.09288468697917	7.473649584375	8.035365209375	4.23456755729167	7.9738632390625	8.02174280625	8.2612032390625	8.45519395052083	7.473074640625	7.38926619010417	5.8699988515625	5.52293703645833	5.47834406627366	5.88026952135417	5.50622478697917	5.80636235833333	5.97908224739583	5.95338515364583
GABBR1 /// UBD	9.524050828125	11.0200967213542	12.3211607552083	9.95847640364583	12.1910388385417	10.4425293020833	11.0439647895833	9.834963465625	11.1107567447917	11.2622215052083	11.3543427942708	10.3630709791667	9.8426271796875	8.31869163072917	11.8023746614583	8.8922655	11.66662134375	10.5699941276042	9.46377214427083	12.2698624791667	10.995002921875	12.1595714409722	11.0386938354167	5.65135545416667	6.7158811875	4.67829854427083	7.65864834412202	7.7106643171875	5.00927327517361	5.78965777430556	9.01388273011364	9.717410834375
FGD4	4.29725658333333	4.79393620438988	4.39136703645833	5.45899025625	5.59647378333333	4.70710698828125	5.09938304322917	6.65277145833333	5.25676050260417	4.97918779940476	5.67397249704861	5.44158862447917	5.01753575669643	4.88987064322917	5.34342557745536	5.07788928125	5.19377890863095	3.29984737708333	4.420495121875	4.66358897098214	4.78413069270833	4.57765940364583	5.31177349270833	3.80253623229167	6.00266813586309	6.48983696354167	6.73929513020833	6.599506978125	6.64281925260417	6.285313996875	5.72790361979167	6.060397853125
ANXA10	8.02278252604167	5.45274239635417	5.89888577548363	7.59858647916667	6.95877538861607	7.17395157552083	7.0862846640625	5.9229035375	5.82114498697917	3.435096609375	5.827490515625	7.54224088932292	8.1907064609375	5.30359499652778	8.30430369010417	4.790755609375	9.6793850234375	5.959532265625	6.79373681912202	6.29011583184524	7.77377499739583	5.46981369661458	6.826971625	9.8048975625	9.45148093489583	9.82965740364583	9.410257015625	9.68542028125	9.7470425703125	9.6300682734375	9.55295061979167	9.81818859895833
EPB41L4B	5.161781003125	5.75780788988095	4.22378581380208	6.349396265625	5.59304604702667	6.05327709756944	5.03865562708333	5.73701464010417	5.9780824109375	6.13983852708333	5.96742734947917	6.07464177127976	5.33773340729167	4.99519621822917	5.3347793171875	5.87923056153274	5.09505753541667	4.36244049479167	5.41237779947917	5.11129203645833	4.86728171421131	5.26024275902778	5.27623756770833	4.76529276302083	6.7966931328125	6.7357504375744	6.2940977109375	6.88829714657738	6.73719442552083	6.47877164322917	6.74622959635417	5.90903767890625
SORT1	4.97902482083333	5.70536045297619	5.00729725111607	5.24396365029762	4.56890648839286	5.12012855338542	5.0266965828125	5.0400064703125	5.68626652008929	5.22579444739583	4.98143116458333	5.6698223234375	6.018778109375	5.26593646041667	4.8800916733631	4.92624203255208	4.8890180296875	5.26629802864583	5.24075378333333	5.37927613993056	5.7584839344494	7.714042640625	4.95111746450893	5.29488015625	4.02006521927083	4.04408843958333	4.12851281927083	4.22306535520833	3.94256690230655	3.8319621328125	4.16887105148809	4.45508362227183
SPINK1	8.3610629140625	9.3619414140625	12.7916359583333	5.13330826971726	5.14323965416667	10.678693234375	12.3796492152778	6.43211343177083	9.14128450520833	10.9159489114583	8.95986665625	5.0400064703125	9.73294554166667	9.17925218377976	13.0660964375	6.80861217447917	12.7663229305556	12.176981453125	11.0386938354167	12.8222428541667	11.4395428125	5.7993691125744	12.2541515486111	10.0383722421875	3.79683712909226	3.55518487986111	5.71917319913194	4.30553196465774	3.84326905364583	3.96741973958333	3.92310466979167	5.7301549515625
ASPA	4.3776668688244	5.42084149739583	4.34479854332386	6.33593245647321	3.98158676971726	5.54466749813988	5.2125942859375	5.01425360081845	6.06384072395833	4.10460559375	5.22364801197917	5.39972304833829	4.33843089583333	4.88288057604167	3.96224184791667	6.78010698177083	4.8561581796875	3.651196684375	3.7670644578125	5.32797229739583	3.68178516145833	4.00055871145833	4.77345187870671	5.60514053869048	7.08087996875	7.6553844375	6.13118913541667	6.2551268578125	6.93169928645833	6.61262719270833	6.44755677864583	6.02126399166667
MIR6883 /// PER1	5.90242307864583	5.36310674479167	6.12928520520833	6.7491139155506	6.05563897544643	6.007470875	6.18212239947917	7.1771420859375	6.188664359375	5.93755770052083	6.16202272552083	6.39552024479167	6.11197196770833	5.60931263697917	6.61160488802083	6.72265017708333	5.95245546197917	6.09308990736607	5.79975734010417	5.35733254010417	5.39972304833829	5.25508517760417	6.58651812447917	5.85598122135417	6.67960935885417	7.77496290364583	7.1765750828125	7.40676078645833	7.217450578125	6.93492506684028	6.73862464895833	6.91780206770833
SLCO1B3	9.17608998958333	5.28251634114583	4.58666730096726	7.54451969122024	6.3727937686756	8.5093807015625	4.49419816011905	9.77170328125	2.84036931510417	2.94167642140152	9.0805510859375	3.37856020859375	3.00561136145833	6.7954136422247	2.7340581359375	4.17781760684524	3.59692850230655	3.72017713013393	3.06993844791667	6.47968757552083	3.7020686890625	2.50674528645833	7.72329403958333	2.37206747395833	10.6476529380208	9.64419767708333	9.654875625	10.2508849083333	10.6734944364583	10.604431078125	10.1596737723958	7.707733221875
